Date,Age,Life Event,
02/13/1941,0, "Rodney’s older brother, Raoul, was born in San Antonio, TX",
1942,0,"Rodney’s older sister, Marie Therese, was born in San Antonio, TX",
08/23/1943,0,"Rodrigo Jacques Alcala-Buquor was born in San Antonio, Texas to Raou Alcala-Buquor and Anna Maria Gutierrez. He lived with his parents, two sisters, one brother and maternal grandmother.",
04/24/1947,4,"His youngest sister, Marie Christine, was born in San Antonio, TX",
1948,5,"He attended kindergarten, first at St. Joseph Catholic Elementary and then moved to Mount Sacred Heart",
1951,8,"His maternal grandmother became ill and wanted to spend her final years in Mexico. The family moved to Mexico where Rodney attended his first non-Catholic school. While living in Mexico, his grandmother passed away.",
1954,?,"After three years of living in Mexico, his father left the family to return to the United States. Soon after, the family relocated to Los Angeles, California.  Rodney was enrolled in St. Alphonsus in East Los Angeles where he attended for two years.",
1956,13,"He finished eighth grade and then attended high school at private Cantwell-Sacred Heart of Mary. During his last semester in high school, he felt like he had enough religious education and insisted on attending public school.",
1960,17,"Graduated from the public high school, Montebello High School.",
06/19/1961,18, "He entered a program in North Carolina to become a paratrooper. He then enlisted in the U.S Army where he served as a clerk for four years.",
01/08/1962,19,"His father unexpectedly passed away in Tulare County, California. The whole family attended the funeral.",
1963,20, "Unexpectedly showed up at his mother’s door. Hs said that he had hitchhiked from Fort Bragg and traveled about three thousand miles to go AWOL.",
Early 1964,21,"Medically discharged from the U.S. Army after having a nervous breakdown. He was then diagnosed with an antisocial personality disorder, chronic, severe. When he was released from the hospital, he returned home where he began to feel more like himself.",
09/25/1968,25,"Raped and attempted to murder an 8-year old white female in his apartment in Los Angeles, California. Managed to escape before LAPD entered apartment.",
9/1968,25,"After speaking to neighbors and finding a University of California at Los Angeles (UCLA) student ID in the apartment, Detective Steve Hodel determined Rodney Alcala was the main suspect in the attack of Victim 1 (WF, 8).",
9/1968,25,"Accepted to New York University’s School of the Arts undergraduate program under the alias, John Berger.",
7/1968,25,"Hired as an arts and drama counselor at a summer camp in George Mills, New Hampshire under the alias John Berger",
6/1971,28,"Graduated from NYU and began his third summer working at the arts and drama camp in George Mills, New Hampshire.",
6/1971,28,"Began working as a photographer, primarily focusing on young women, in Manhattan under the alias John Berger.",
6/24/1971,28,"The body of Cornelia 'Michael' Crilley (WF, 23), was found in her apartment in the Yorkville area of Manhattan, New York.",
